name,club
"Jan Bauer","ODS"
"Ivan Adamec","ODS"
"Jan Bureš","ODS"
"Miloslav Janulík","ANO"
"David Kasal","ANO"
"Roman Kubíček","ANO"
"Michal Kučera","TOP 09"
"Jana Pastuchová","ANO"
"Karel Tureček","ANO"
"Josef Kott","ANO"
"František Petrtýl","ANO"
"Lenka Dražilová","ANO"
"Kamal Farhan","ANO"
"Stanislav Fridrich","ANO"
"Eva Fialová","ANO"
"Jakub Janda","ODS"
"Jana Krutáková","STAN"
"Zuzana Ožanová","ANO"
"Monika Oborná","ANO"
"Lucie Šafránková","SPD"
"David Štolpa","ANO"
"Vojtěch Munzar","ODS"
"Petr Vrána","ANO"
"Jan Richter","ANO"
"Tomáš Kohoutek","ANO"
"Radek Koten","SPD"
"Robert Králíček","ANO"
"Jiří Strýček","ANO"
"Petr Sadovský","ANO"
"Pavel Růžička","ANO"
"Michal Ratiborský","ANO"
"David Pražák","ANO"
"Marek Novák","ANO"
"Jiří Mašek","ANO"
"Tom Philipp","KDU-ČSL"
"Pavel Karpíšek","ODS"
"Ondřej Babka","ANO"
"Josef Nerušil","SPD"
"Jan Jakob","TOP 09"
"Miroslav Samaš","ANO"
"Libor Hoppe","ODS"
"Jana Bačíková","ODS"
"Jan Berki","STAN"
"Jana Berkovcová","ANO"
"Lubomír Wenzl","ANO"
"Ivana Mádlová","ANO"
"Hubert Lang","ANO"
"Robert Stržínek","ANO"
"Marie Pošarová","SPD"
"Josef Flek","STAN"
"Karel Haas","ODS"
"Jana Hanzlíková","ANO"
"Matěj Ondřej Havel","TOP 09"
"Jiří Havránek","ODS"
"Tomáš Helebrant","ANO"
"Igor Hendrych","ANO"
"Pavla Pivoňka Vaňková","STAN"
"Michaela Šebelová","STAN"
"Eliška Olšáková","STAN"
"Michaela Opltová","STAN"
"Renata Oulehlová","ANO"
"Berenika Peštová","ANO"
"Drahoslav Ryba","ANO"
"Jan Síla","SPD"
"Róbert Teleky","KDU-ČSL"
"Libor Turek","ODS"
"Barbora Urbanová","STAN"
"Lukáš Vlček","STAN"
"Renáta Zajíčková","ODS"
"Michal Zuna","TOP 09"
"Jiří Horák","KDU-ČSL"
"Zdenka Němečková Crkvenjaš","ODS"
"Josef Váňa","ANO"
"Hana Ančincová","Piráti"
"Jiří Barták","Motoristé"
"Pavel Bartoň","ANO"
"Lucie Bartošová","ODS"
"Drahomír Blažej","ANO"
"Zdeňka Blišťanová","TOP 09"
"Jiří Bouška","ANO"
"Monika Brzesková","KDU-ČSL"
"František Bureš","ANO"
"Adriana Chochelová","STAN"
"Benjamin Činčila","KDU-ČSL"
"Katerina Demetrashvili","Piráti"
"Denis Doksanský","ANO"
"Tomáš Doležal","SPD"
"Karel Dvořák","STAN"
"Irena Ferčíková Konečná","Piráti"
"Jana Filipovičová","KDU-ČSL"
"Karin Gajdová","ANO"
"Matěj Gregor","Motoristé"
"Monika Hubíková","ANO"
"Zdena Kašparová","STAN"
"Jiřina Klčová","ANO"
"Matěj Hlavatý","STAN"
"Vladimír Kolek","ANO"
"Veronika Kovářová","Piráti"
"Petr Kowanda","ANO"
"Jakub Krainer","STAN"
"Miroslav Krejčí","Motoristé"
"Vojtěch Krňanský","Motoristé"
"Marie Kršková","KDU-ČSL"
"Martin Kupec","ANO"
"Lenka Martínková Španihelová","Piráti"
"Michaela Moricová","Piráti"
"Jana Murová","ANO"
"Anežka Nedomová","STAN"
"Irena Němcová","SPD"
"Bohuslav Niemiec","KDU-ČSL"
"Pavel Outrata","ANO"
"Jan Papajanovský","STAN"
"Patrik Pařil","ANO"
"Jana Patková","Piráti"
"Jiří Svoboda","ANO"
"Barbora Pipášová","Piráti"
"Václav Pláteník","KDU-ČSL"
"Barbora Rázga","ANO"
"Vítězslav Schrek","ODS"
"Gabriela Sedláčková","Motoristé"
"Lucie Sedmihradská","STAN"
"Štěpán Slovák","ODS"
"Julie Smejkalová","STAN"
"Petr Sokol","ODS"
"Eva Šrámková","Piráti"
"Kateřina Stojanová","Piráti"
"Gabriela Svárovská","Piráti"
"Jan Sviták","STAN"
"Vendula Svobodová","Piráti"
"František Talíř","KDU-ČSL"
"Václav Trojan","ANO"
"Jiří Vojáček","KDU-ČSL"
"Jitka Volfová","ANO"
"Samuel Volpe","Piráti"
"Libor Vondráček","SPD"
"Otto Vopěnka","ANO"
"Ester Weimerová","STAN"
"Martin Záhoř","ANO"
"Miroslav Žbánek","ANO"
"Martin Šmída","Piráti"
"Vlastimil Hebr","ANO"
"Jiří Penc","ANO"
"Jana Demjanová","ANO"
"Libor Forman","Motoristé"
